ID;Geslacht;LeeftijdOp31December;Perioden;Overledenen_1
473;T001038;10000;1979W142;2069
474;T001038;10000;1979W143;2059
475;T001038;10000;1979W144;2205
476;T001038;10000;1979W145;2221
477;T001038;10000;1979W146;2273
478;T001038;10000;1979W147;2273
479;T001038;10000;1979W148;2257
480;T001038;10000;1979W149;2110
481;T001038;10000;1979W150;2250
482;T001038;10000;1979W151;2303
483;T001038;10000;1979W152;2247
484;T001038;10000;1979W153;355
485;T001038;10000;1979JJ00;112565
486;T001038;10000;1980W101;2061
487;T001038;10000;1980W102;2175
488;T001038;10000;1980W103;2450
489;T001038;10000;1980W104;2501
490;T001038;10000;1980W105;2325
491;T001038;10000;1980W106;2173
492;T001038;10000;1980W107;2274
493;T001038;10000;1980W108;2223
494;T001038;10000;1980W109;2238
495;T001038;10000;1980W110;2290
496;T001038;10000;1980W111;2248
497;T001038;10000;1980W112;2274
498;T001038;10000;1980W113;2200
499;T001038;10000;1980W114;2144
500;T001038;10000;1980W115;2138
501;T001038;10000;1980W116;2234
502;T001038;10000;1980W117;2197
503;T001038;10000;1980W118;2063
504;T001038;10000;1980W119;2217
505;T001038;10000;1980W120;2218
506;T001038;10000;1980W121;2255
507;T001038;10000;1980W122;2155
508;T001038;10000;1980W123;2197
509;T001038;10000;1980W124;2230
510;T001038;10000;1980W125;1964
511;T001038;10000;1980W126;2017
512;T001038;10000;1980W127;2146
513;T001038;10000;1980W128;2034
514;T001038;10000;1980W129;2110
515;T001038;10000;1980W130;2304
516;T001038;10000;1980W131;2246
517;T001038;10000;1980W132;2034
518;T001038;10000;1980W133;2039
519;T001038;10000;1980W134;1944
520;T001038;10000;1980W135;2010
521;T001038;10000;1980W136;2008
522;T001038;10000;1980W137;2007
523;T001038;10000;1980W138;2117
524;T001038;10000;1980W139;1901
525;T001038;10000;1980W140;2105
526;T001038;10000;1980W141;2130
527;T001038;10000;1980W142;2216
528;T001038;10000;1980W143;2221
529;T001038;10000;1980W144;2179
530;T001038;10000;1980W145;2311
531;T001038;10000;1980W146;2238
532;T001038;10000;1980W147;2275
533;T001038;10000;1980W148;2124
534;T001038;10000;1980W149;2245
535;T001038;10000;1980W150;2265
536;T001038;10000;1980W151;2379
537;T001038;10000;1980W152;2334
538;T001038;10000;1980W153;896
539;T001038;10000;1980JJ00;114279
540;T001038;10000;1981W101;1372
541;T001038;10000;1981W102;2339
542;T001038;10000;1981W103;2338
543;T001038;10000;1981W104;2321
544;T001038;10000;1981W105;2234
545;T001038;10000;1981W106;2321
546;T001038;10000;1981W107;2309
547;T001038;10000;1981W108;2280
548;T001038;10000;1981W109;2378
549;T001038;10000;1981W110;2418
550;T001038;10000;1981W111;2342
551;T001038;10000;1981W112;2277
552;T001038;10000;1981W113;2279
553;T001038;10000;1981W114;2173
554;T001038;10000;1981W115;2214
555;T001038;10000;1981W116;2112
556;T001038;10000;1981W117;2224
557;T001038;10000;1981W118;2129
558;T001038;10000;1981W119;2351
559;T001038;10000;1981W120;2214
560;T001038;10000;1981W121;2195
561;T001038;10000;1981W122;2092
562;T001038;10000;1981W123;2170
563;T001038;10000;1981W124;2154
564;T001038;10000;1981W125;2085
565;T001038;10000;1981W126;2177
566;T001038;10000;1981W127;2066
567;T001038;10000;1981W128;2281
568;T001038;10000;1981W129;2009
569;T001038;10000;1981W130;1954
570;T001038;10000;1981W131;2081
571;T001038;10000;1981W132;2299
572;T001038;10000;1981W133;2033
573;T001038;10000;1981W134;1903
574;T001038;10000;1981W135;2008
575;T001038;10000;1981W136;2055
576;T001038;10000;1981W137;2150
577;T001038;10000;1981W138;2109
578;T001038;10000;1981W139;2070
579;T001038;10000;1981W140;2147
580;T001038;10000;1981W141;2101
581;T001038;10000;1981W142;2212
582;T001038;10000;1981W143;2267
583;T001038;10000;1981W144;2367
584;T001038;10000;1981W145;2172
585;T001038;10000;1981W146;2204
586;T001038;10000;1981W147;2243
587;T001038;10000;1981W148;2268
588;T001038;10000;1981W149;2255
589;T001038;10000;1981W150;2350
590;T001038;10000;1981W151;2439
591;T001038;10000;1981W152;2480
592;T001038;10000;1981W153;1494
593;T001038;10000;1981JJ00;115515
594;T001038;10000;1982X000;1031
595;T001038;10000;1982W101;2429
596;T001038;10000;1982W102;2462
597;T001038;10000;1982W103;2418
598;T001038;10000;1982W104;2308
599;T001038;10000;1982W105;2271
600;T001038;10000;1982W106;2380
601;T001038;10000;1982W107;2206
602;T001038;10000;1982W108;2399
603;T001038;10000;1982W109;2481
604;T001038;10000;1982W110;2300
605;T001038;10000;1982W111;2310
606;T001038;10000;1982W112;2392
607;T001038;10000;1982W113;2384
608;T001038;10000;1982W114;2229
609;T001038;10000;1982W115;2251
610;T001038;10000;1982W116;2308
611;T001038;10000;1982W117;2357
612;T001038;10000;1982W118;2099
613;T001038;10000;1982W119;2254
614;T001038;10000;1982W120;2225
615;T001038;10000;1982W121;2042
616;T001038;10000;1982W122;2589
617;T001038;10000;1982W123;2221
618;T001038;10000;1982W124;2053
619;T001038;10000;1982W125;2156
620;T001038;10000;1982W126;2205
621;T001038;10000;1982W127;2257
622;T001038;10000;1982W128;2374
623;T001038;10000;1982W129;2105
624;T001038;10000;1982W130;2094
625;T001038;10000;1982W131;2305
626;T001038;10000;1982W132;2032
627;T001038;10000;1982W133;1997
628;T001038;10000;1982W134;2034
629;T001038;10000;1982W135;2091
630;T001038;10000;1982W136;2079
